11:52:05.589 |  get_toc.py  | Line 110 | DEBUG ➤ Row 53:1 text: `Chapter 1028 - Jake Thayne vs Ell'Hakan (5)`
11:52:05.590 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1028: Jake Thayne vs Ell'Hakan (5)
11:52:05.590 |  get_toc.py  | Line 110 | DEBUG ➤ Row 54:1 text: `Chapter 1029 - Primal Hunter vs Celestial Child (6)`
11:52:05.590 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1029: Primal Hunter vs Celestial Child (6)
11:52:05.590 |  get_toc.py  | Line 110 | DEBUG ➤ Row 55:1 text: `Chapter 1030 - Primal Hunter vs Celestial Child (7)`
11:52:05.590 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1030: Primal Hunter vs Celestial Child (7)
11:52:05.590 |  get_toc.py  | Line 110 | DEBUG ➤ Row 56:1 text: `Chapter 1031 - Primal Hunter vs Celestial Child (8)`
11:52:05.591 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1031: Primal Hunter vs Celestial Child (8)
11:52:05.591 |  get_toc.py  | Line 110 | DEBUG ➤ Row 57:1 text: `Chapter 1032 - Primal Hunter vs Celestial Child (9)`
11:52:05.591 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1032: Primal Hunter vs Celestial Child (9)
11:52:05.591 |  get_toc.py  | Line 110 | DEBUG ➤ Row 58:1 text: `Chapter 1033 - Primal Hunter vs Celestial Child (10)`
11:52:05.592 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1033: Primal Hunter vs Celestial Child (10)
11:52:05.592 |  get_toc.py  | Line 110 | DEBUG ➤ Row 59:1 text: `Chapter 1034 - Scattering Starlight`
11:52:05.592 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1034: Scattering Starlight
11:52:05.592 |  get_toc.py  | Line 110 | DEBUG ➤ Row 60:1 text: `Chapter 1035 - Primal Hunter vs Augur's Guardian (1)`
11:52:05.592 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1035: Primal Hunter vs Augur's Guardian (1)
11:52:05.592 |  get_toc.py  | Line 110 | DEBUG ➤ Row 61:1 text: `Chapter 1036 - A Warrior's Return`
11:52:05.593 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1036: A Warrior's Return
11:52:05.593 |  get_toc.py  | Line 110 | DEBUG ➤ Row 62:1 text: `Chapter 1037 - The War of the Milky Way Galaxy`
11:52:05.593 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1037: The War of the Milky Way Galaxy
11:52:05.593 |  get_toc.py  | Line 110 | DEBUG ➤ Row 63:1 text: `Chapter 1038 - Doing A Bit of Catch-Up`
11:52:05.593 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1038: Doing A Bit of Catch-Up
11:52:05.593 |  get_toc.py  | Line 110 | DEBUG ➤ Row 64:1 text: `Chapter 1039 - A Hearty Conversation`
11:52:05.595 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1039: A Hearty Conversation
11:52:05.595 |  get_toc.py  | Line 110 | DEBUG ➤ Row 65:1 text: `Chapter 1040 - Office Meeting`
11:52:05.595 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1040: Office Meeting
11:52:05.595 |  get_toc.py  | Line 110 | DEBUG ➤ Row 66:1 text: `Chapter 1041 - Long Overdue`
11:52:05.596 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1041: Long Overdue
11:52:05.596 |  get_toc.py  | Line 110 | DEBUG ➤ Row 67:1 text: `Chapter 1042 - A Historic City`
11:52:05.596 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1042: A Historic City
11:52:05.596 |  get_toc.py  | Line 110 | DEBUG ➤ Row 68:1 text: `Chapter 1043 - More Questions Than Answers`
11:52:05.596 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1043: More Questions Than Answers
11:52:05.596 |  get_toc.py  | Line 110 | DEBUG ➤ Row 69:1 text: `Chapter 1044 - A Journey Down Memory Lane`
11:52:05.597 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1044: A Journey Down Memory Lane
11:52:05.597 |  get_toc.py  | Line 110 | DEBUG ➤ Row 70:1 text: `Chapter 1045 - To Leave Empty-Handed`
11:52:05.597 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1045: To Leave Empty-Handed
11:52:05.597 |  get_toc.py  | Line 110 | DEBUG ➤ Row 71:1 text: `Chapter 1046 - A Sagacious Opportunity`
11:52:05.597 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1046: A Sagacious Opportunity
11:52:05.597 |  get_toc.py  | Line 110 | DEBUG ➤ Row 72:1 text: `Chapter 1047 - One Final Lesson`
11:52:05.598 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1047: One Final Lesson
11:52:05.598 |  get_toc.py  | Line 110 | DEBUG ➤ Row 73:1 text: `Chapter 1048 - A Harsh Lesson`
11:52:05.598 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1048: A Harsh Lesson
11:52:05.598 |  get_toc.py  | Line 110 | DEBUG ➤ Row 74:1 text: `Chapter 1049 - Something New`
11:52:05.598 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1049: Something New
11:52:05.598 |  get_toc.py  | Line 110 | DEBUG ➤ Row 75:1 text: `Chapter 1050 - A Whole New World`
11:52:05.599 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1050: A Whole New World
11:52:05.599 |  get_toc.py  | Line 110 | DEBUG ➤ Row 76:1 text: `Chapter 1051 - A Final Gift & Taking Status`
11:52:05.599 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1051: A Final Gift & Taking Status
11:52:05.599 |  get_toc.py  | Line 110 | DEBUG ➤ Row 77:1 text: `Chapter 1052 - Bombshells`
11:52:05.599 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1052: Bombshells
11:52:05.599 |  get_toc.py  | Line 110 | DEBUG ➤ Row 78:1 text: `Chapter 1053 - Recap Time With Villy`
11:52:05.600 |  get_toc.py  | Line 172 | TRACE ➤ Parsed chapter 1053: Recap Time With Villy
